rule,ra,rb,rb_max
72,0.026427498905736386,"[0.03694698 0.0305505  0.01259882 0.02182179 0.0207785  0.01868706
 0.02981424]",0.03694698045956346
73,0.022198111316770745,"[0.0258326  0.00855673 0.02011227 0.01988538 0.01267631 0.02317944
 0.01433789]",0.025832598945014586
74,0.012826936315351973,"[0.07068287 0.05288668 0.03617349 0.02254555 0.02647849 0.01539635
 0.00943593]",0.07068286621374716
75,0.012755798681384049,"[0.01621352 0.0111079  0.01601083 0.01609011 0.01313997 0.01261458
 0.01680428]",0.016804278225102838
76,0.022074908545712847,"[0.01147807 0.01284832 0.00992032 0.01532712 0.00845154 0.00745356
 0.00776643]",0.015327120894696275
77,0.0075592894601846,"[0.00333333 0.01061595 0.01069045 0.01855921 0.01327368 0.009759
 0.01061595]",0.018559214542766836
78,0.011268723396380102,"[0.00786796 0.00934353 0.00666667 0.00959497 0.0092582  0.00712697
 0.00701472]",0.009594972228385693
79,0.011198072396480744,"[0.01046536 0.01069045 0.0054917  0.0082616  0.00755929 0.01083791
 0.01      ]",0.010837911120705737
80,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
81,0.0013932740930673892,"[0.00416705 0.00336518 0.00152899 0.00185347 0.00196746 0.00216504
 0.00167103]",0.004167047792093003
82,0.0,"[0.03122337 0.00899396 0.00187804 0.00083394 0.00093323 0.
 0.        ]",0.031223373011611388
83,0.001102820338229513,"[0.00206575 0.0033921  0.00279895 0.00239366 0.00297784 0.00069633
 0.00208805]",0.003392102405612015
84,0.00022480679535565425,"[0.00174775 0.00068378 0.00072459 0.00050193 0.00040424 0.00020409
 0.0002767 ]",0.0017477482111344725
85,0.00034227529994488204,"[0.00064841 0.00058819 0.00039565 0.00047626 0.00026833 0.00020541
 0.00037869]",0.0006484058595742277
86,0.0009301305591920477,"[0.00232311 0.00138217 0.00186509 0.00103596 0.00154819 0.00117781
 0.00059303]",0.002323108891256436
87,0.0012968472147530366,"[0.00283393 0.00207259 0.00103717 0.00075942 0.00136755 0.00084455
 0.00066653]",0.0028339259884366127
88,0.023760905232341582,"[0.05197825 0.06328079 0.03613996 0.03520494 0.0187097  0.040064
 0.01000839]",0.063280788277955
89,0.011004741474502432,"[0.01417283 0.0099691  0.01465788 0.00512818 0.01337369 0.01112014
 0.00842514]",0.014657881622212472
90,0.007282844268204629,"[0.01441079 0.0151621  0.01546757 0.01300594 0.0117957  0.00721899
 0.0103683 ]",0.015467568169539944
91,0.0040079207291847255,"[0.00950686 0.00891758 0.00583449 0.00544888 0.00911213 0.00364628
 0.0043311 ]",0.009506863769412007
92,0.005194624816493195,"[0.00776521 0.0082616  0.00890871 0.00983999 0.00872872 0.00796819
 0.00854493]",0.009839989676081818
93,0.008728715609439558,"[0.01105542 0.00942809 0.00786796 0.00563436 0.01112697 0.0082616
 0.00666667]",0.011126972805283736
94,0.009999999999999802,"[0.01259882 0.01038925 0.01147807 0.01091089 0.00899735 0.0120185
 0.01315355]",0.01315354982565048
95,0.006900655593423433,"[0.01023533 0.00854493 0.00934353 0.01333333 0.00654654 0.00617213
 0.00642416]",0.013333333333333308
96,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
97,0.0028134650725192664,"[0.00337985 0.00334873 0.00234591 0.00357073 0.00351172 0.00311014
 0.00337664]",0.0035707308842335035
98,0.0,"[0.00060546 0.         0.         0.         0.         0.
 0.        ]",0.0006054619120837635
99,0.0027572953736910116,"[0.00605279 0.00350765 0.0034055  0.00176693 0.002214   0.00138507
 0.00213539]",0.006052785269924047
100,0.009511897312113425,"[0.01140871 0.00654654 0.01091089 0.01333333 0.01623244 0.00563436
 0.01573592]",0.01623243861815174
101,0.008961319081616249,"[0.01118503 0.01619148 0.01352132 0.01224568 0.00885955 0.0092083
 0.01147449]",0.016191476201609985
102,0.005178834366614306,"[0.0070499  0.00857657 0.00901763 0.00627972 0.00927286 0.00485219
 0.0044658 ]",0.009272861666824518
103,0.0016305316106514194,"[0.00445892 0.00310116 0.00169525 0.00154728 0.00231642 0.00182219
 0.00096738]",0.004458920967058746
104,0.02569664297758487,"[0.01573592 0.02211083 0.0213809  0.01333333 0.02253745 0.01126872
 0.02015811]",0.02253744679276044
105,0.003238237811987287,"[0.00943859 0.00717775 0.00373278 0.00646321 0.0063842  0.00358829
 0.0034691 ]",0.009438593939541825
